window_id,t_index,ts_close_ms,y_true_pct,y_pred_pct,position,pnl_frac
313,300,1704161999000,-0.12716658400098613,-0.12225974959651884,-1.0,0.0012716658400098613
314,300,1704162299000,0.14751852997017814,0.12482137795005942,1.0,0.0014751852997017814
315,300,1704162599000,0.24204792548925014,0.21083326631851032,1.0,0.0024204792548925013
316,300,1704162899000,0.09565410199556412,0.10860084558963061,1.0,0.0009565410199556412
317,300,1704163199000,0.08342193868510431,0.08465638275943364,1.0,0.000834219386851043
318,300,1704163499000,0.23623528370363814,0.23573491509375455,1.0,0.0023623528370363815
319,300,1704163799000,-0.18504510543443306,-0.13376393370372588,-1.0,0.0018504510543443306
320,300,1704164099000,0.10009321387917942,0.08675586618309067,1.0,0.0010009321387917942
321,300,1704164399000,0.2781024331808323,0.25405870488041077,1.0,0.0027810243318083226
322,300,1704164699000,-0.669938793406009,-0.23322565027982853,-1.0,0.006699387934060091
323,300,1704164999000,0.08692955250331849,0.1531790357289405,1.0,0.0008692955250331849
324,300,1704165299000,0.15763880880659958,0.20025501789466132,1.0,0.0015763880880659959
325,300,1704165599000,-0.059557418765994796,-0.04789786906483473,-1.0,0.000595574187659948
326,300,1704165899000,0.2445517090093473,0.2054787230681946,1.0,0.002445517090093473
327,300,1704166199000,-0.03399355688638319,-0.02023361549652431,-1.0,0.0003399355688638319
328,300,1704166499000,0.013261253309801494,-0.012119146277916404,-1.0,-0.00013261253309801495
329,300,1704166799000,0.06929797467238118,0.09458648137927177,1.0,0.0006929797467238117
330,300,1704167099000,0.1336275299609206,0.1279167098852954,1.0,0.001336275299609206
331,300,1704167399000,-0.1572607783516884,-0.13451537040227554,-1.0,0.001572607783516884
332,300,1704167699000,0.06118767594213036,0.02649749798549397,1.0,0.0006118767594213035
333,300,1704167999000,0.049272785688504725,0.21013106430327355,1.0,0.0004927278568850473
334,300,1704168299000,-0.07310007530255332,-0.06132587401461224,-1.0,0.0007310007530255332
335,300,1704168599000,-0.2741663208087574,-0.18440390020709807,-1.0,0.002741663208087574
336,300,1704168899000,0.31850406744126497,0.3161354664982354,1.0,0.0031850406744126495
337,300,1704169199000,-0.2279297701311573,-0.17491926155942691,-1.0,0.002279297701311573
338,300,1704169499000,0.03856095634705198,0.10061497973229813,1.0,0.0003856095634705198
339,300,1704169799000,0.14535361837565677,0.12586356252371916,1.0,0.0014535361837565678
340,300,1704170099000,-0.20122449780400944,-0.16807512593963664,-1.0,0.0020122449780400945
341,300,1704170399000,-0.14357980684760815,-0.13141964546424556,-1.0,0.0014357980684760816
342,300,1704170699000,0.041852860649673924,0.09222773291160918,1.0,0.00041852860649673927
343,300,1704170999000,-0.009684930204388858,-0.017603036090121236,-1.0,9.684930204388858e-05
344,300,1704171299000,-0.04405079817746071,-0.04080891294951145,-1.0,0.00044050798177460706
345,300,1704171599000,-0.04393838360731161,-0.01835583791582793,-1.0,0.00043938383607311607
346,300,1704171899000,-0.12377215564746594,-0.12333007663874986,-1.0,0.0012377215564746593
347,300,1704172199000,0.3060731318004607,0.2997919478564399,1.0,0.003060731318004607
348,300,1704172499000,0.10915817419312425,0.1032340044392652,1.0,0.0010915817419312425
349,300,1704172799000,-0.13686716315771671,-0.07029159819025765,-1.0,0.0013686716315771672
350,300,1704173099000,0.022562543658299065,0.03831635786570808,1.0,0.00022562543658299065
351,300,1704173399000,-0.006428951579381793,0.000620603217862934,1.0,-6.428951579381793e-05
352,300,1704173699000,0.005192098818672787,0.03846362005031425,1.0,5.1920988186727865e-05
353,300,1704173999000,0.062191472853133076,0.06672177004995605,1.0,0.0006219147285313307
354,300,1704174299000,-0.09357145553953258,-0.07874100050863889,-1.0,0.0009357145553953258
355,300,1704174599000,0.06713930854027178,0.05436485389936172,1.0,0.0006713930854027178
356,300,1704174899000,-0.2697746997000887,-0.18761980158892128,-1.0,0.0026977469970008872
357,300,1704175199000,0.04295829413942901,0.06079462006123897,1.0,0.0004295829413942901
358,300,1704175499000,-0.006418844665511692,-8.533524231846593e-05,-1.0,6.418844665511692e-05
359,300,1704175799000,0.000951820822165762,0.02274904451460218,1.0,9.518208221657621e-06
360,300,1704176099000,0.1355060338034518,0.13440141444003023,1.0,0.001355060338034518
361,300,1704176399000,-0.015341447794981509,-0.06311946854423095,-1.0,0.00015341447794981508
362,300,1704176699000,0.024541239120323806,0.027532655431992948,1.0,0.00024541239120323807
363,300,1704176999000,0.020114453450509703,0.03399743432054471,1.0,0.00020114453450509703
364,300,1704177299000,-0.1014802368785756,-0.09672706111958629,-1.0,0.001014802368785756
365,300,1704177599000,0.05607876068371965,0.03871032383674655,1.0,0.0005607876068371965
366,300,1704177899000,0.13219793435201552,0.11420297783110409,1.0,0.001321979343520155
367,300,1704178199000,-0.026603377856281953,-0.029400071466671427,-1.0,0.0002660337785628195
